id,target_type,target_name,check_type,severity,status,details,evidence
1,table_or_view,public.admin_broadcasts,table_exists,P0,PASS,Found in inventory,db_inventory.tables_and_views
2,table_or_view,public.admin_broadcasts,column_contract,P0,PASS,8 columns detected,OpenAPI definitions
3,table_or_view,public.admin_broadcasts,primary_key_presence,P0,PASS,Primary key detected,OpenAPI column metadata
4,table_or_view,public.admin_broadcasts,foreign_key_integrity,P0,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
5,table_or_view,public.admin_broadcasts,orphan_row_check,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
6,table_or_view,public.admin_broadcasts,index_presence_fk,P1,PASS,Index entries found in migrations,migration_derived_metadata.indexes
7,table_or_view,public.admin_broadcasts,index_usage_baseline,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
8,table_or_view,public.admin_broadcasts,unique_constraint_check,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
9,table_or_view,public.admin_broadcasts,not_null_required_fields,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
10,table_or_view,public.admin_broadcasts,default_values_sanity,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
11,table_or_view,public.admin_broadcasts,rls_enabled,P0,PASS,Policies detected in migrations,migration_derived_metadata.policies
12,table_or_view,public.admin_broadcasts,rls_select_owner_scope,P0,PASS,Policies detected in migrations,migration_derived_metadata.policies
13,table_or_view,public.admin_broadcasts,rls_insert_owner_scope,P0,PASS,Policies detected in migrations,migration_derived_metadata.policies
14,table_or_view,public.admin_broadcasts,rls_update_owner_scope,P0,PASS,Policies detected in migrations,migration_derived_metadata.policies
15,table_or_view,public.admin_broadcasts,rls_delete_owner_scope,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
16,table_or_view,public.admin_broadcasts,rls_admin_bypass_expected,P1,PASS,Policies detected in migrations,migration_derived_metadata.policies
17,table_or_view,public.admin_broadcasts,rls_recursion_risk_scan,P0,PASS,No direct recursion marker found,migrations scan
18,table_or_view,public.admin_broadcasts,api_select_endpoint_ok,P1,PASS,GET status=200,/rest/v1/admin_broadcasts?select=*
19,table_or_view,public.admin_broadcasts,api_insert_endpoint_ok,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
20,table_or_view,public.admin_broadcasts,api_update_endpoint_ok,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
21,table_or_view,public.admin_broadcasts,api_delete_endpoint_guarded,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
22,table_or_view,public.admin_broadcasts,api_payload_shape_validation,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
23,table_or_view,public.admin_broadcasts,ui_widget_source_mapping,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
24,table_or_view,public.admin_broadcasts,ui_widget_empty_state_sanity,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
