id,target_type,target_name,check_type,sql_or_command,expected_result,severity
1,table_or_view,public.admin_broadcasts,table_exists,SELECT to_regclass('public.admin_broadcasts') IS NOT NULL AS exists;,admin_broadcasts should exist in public schema,P0
2,table_or_view,public.admin_broadcasts,column_contract,CHECK OPENAPI definition for admin_broadcasts has expected required columns and types.,column_contract should pass for admin_broadcasts,P0
3,table_or_view,public.admin_broadcasts,primary_key_presence,Heuristic/targeted check on admin_broadcasts: primary_key_presence,primary_key_presence should pass for admin_broadcasts,P0
4,table_or_view,public.admin_broadcasts,foreign_key_integrity,Run orphan check queries for each FK on admin_broadcasts.,foreign_key_integrity should pass for admin_broadcasts,P0
5,table_or_view,public.admin_broadcasts,orphan_row_check,SELECT * FROM public.admin_broadcasts LIMIT 1; then run LEFT JOIN orphan probes.,orphan_row_check should pass for admin_broadcasts,P1
6,table_or_view,public.admin_broadcasts,index_presence_fk,Verify indexes for FK columns on admin_broadcasts from migration metadata.,index_presence_fk should pass for admin_broadcasts,P1
7,table_or_view,public.admin_broadcasts,index_usage_baseline,Heuristic/targeted check on admin_broadcasts: index_usage_baseline,index_usage_baseline should pass for admin_broadcasts,P2
8,table_or_view,public.admin_broadcasts,unique_constraint_check,Heuristic/targeted check on admin_broadcasts: unique_constraint_check,unique_constraint_check should pass for admin_broadcasts,P1
9,table_or_view,public.admin_broadcasts,not_null_required_fields,Heuristic/targeted check on admin_broadcasts: not_null_required_fields,not_null_required_fields should pass for admin_broadcasts,P1
10,table_or_view,public.admin_broadcasts,default_values_sanity,Heuristic/targeted check on admin_broadcasts: default_values_sanity,default_values_sanity should pass for admin_broadcasts,P2
11,table_or_view,public.admin_broadcasts,rls_enabled,Verify admin_broadcasts has RLS enabled in policy inventory/migrations.,admin_broadcasts should have RLS explicitly configured as intended,P0
12,table_or_view,public.admin_broadcasts,rls_select_owner_scope,Heuristic/targeted check on admin_broadcasts: rls_select_owner_scope,rls_select_owner_scope should pass for admin_broadcasts,P0
13,table_or_view,public.admin_broadcasts,rls_insert_owner_scope,Heuristic/targeted check on admin_broadcasts: rls_insert_owner_scope,rls_insert_owner_scope should pass for admin_broadcasts,P0
